date,name,code,cnt,cnt_max,premium_rt
2026-04-22,超达转债,123187,8,15,-2.2
2026-04-22,华兴转债,118003,14,15,1.45
2026-04-22,超达转债,123187,8,15,-2.2
2026-04-22,华兴转债,118003,14,15,1.45
2026-04-22,盈峰转债,127024,8,15,-0.31
2026-04-22,华兴转债,118003,14,15,1.5
2026-04-22,超达转债,123187,8,15,1.96
2026-04-22,盈峰转债,127024,8,15,-0.31
2026-04-22,华兴转债,118003,14,15,1.5
2026-04-22,超达转债,123187,8,15,1.96
2026-04-22,盈峰转债,127024,8,15,-0.31
2026-04-22,华兴转债,118003,14,15,1.5
2026-04-22,超达转债,123187,8,15,1.96
2026-04-22,盈峰转债,127024,8,15,-0.31
2026-04-22,华兴转债,118003,14,15,1.5
2026-04-22,超达转债,123187,8,15,1.96
2026-04-22,盈峰转债,127024,8,15,-0.21
2026-04-22,盈峰转债,127024,8,15,-0.19
2026-04-22,超达转债,123187,8,15,0.9
2026-04-22,超达转债,123187,9,15,0.13
2026-04-22,盈峰转债,127024,9,15,0.36
2026-04-22,超达转债,123187,9,15,0.13
2026-04-22,盈峰转债,127024,9,15,0.36
2026-04-23,超达转债,123187,9,15,0.13
2026-04-23,盈峰转债,127024,9,15,0.36
2026-04-23,超达转债,123187,9,15,0.13
2026-04-23,盈峰转债,127024,9,15,0.36
2026-04-23,翔丰转债,123225,1,15,0.2
2026-04-23,盈峰转债,127024,9,15,0.31
2026-04-23,瑞丰转债,123126,9,15,0.6
2026-04-23,超达转债,123187,9,15,1.17
2026-04-23,盈峰转债,127024,9,15,0.18
2026-04-23,超达转债,123187,9,15,0.69
2026-04-23,翔丰转债,123225,1,15,0.96
2026-04-23,超达转债,123187,9,15,-0.61
2026-04-23,瑞丰转债,123126,9,15,0.23
2026-04-23,翔丰转债,123225,1,15,0.86
2026-04-23,盈峰转债,127024,9,15,1.71
2026-04-23,华特转债,118033,2,15,1.84
2026-04-23,超达转债,123187,10,15,-0.07
2026-04-23,翔丰转债,123225,2,15,0.07
2026-04-23,瑞丰转债,123126,10,15,0.54
2026-04-23,华特转债,118033,3,15,1.51
2026-04-23,盈峰转债,127024,10,15,1.73
2026-04-23,超达转债,123187,10,15,-0.07
2026-04-23,翔丰转债,123225,2,15,0.07
2026-04-23,瑞丰转债,123126,10,15,0.54
2026-04-23,华特转债,118033,3,15,1.51
2026-04-23,盈峰转债,127024,10,15,1.73
2026-04-24,超达转债,123187,10,15,-0.07
2026-04-24,翔丰转债,123225,2,15,0.07
2026-04-24,瑞丰转债,123126,10,15,0.54
2026-04-24,华特转债,118033,3,15,1.51
2026-04-24,盈峰转债,127024,10,15,1.73
2026-04-24,超达转债,123187,10,15,-0.07
2026-04-24,翔丰转债,123225,2,15,0.07
2026-04-24,瑞丰转债,123126,10,15,0.54
2026-04-24,华特转债,118033,3,15,1.51
2026-04-24,盈峰转债,127024,10,15,1.73
2026-04-24,华特转债,118033,3,15,-1.26
2026-04-24,超达转债,123187,10,15,-0.63
2026-04-24,翔丰转债,123225,2,15,0.68
2026-04-24,盈峰转债,127024,10,15,1.85
2026-04-24,超达转债,123187,10,15,-1.65
2026-04-24,华特转债,118033,3,15,-1.4
2026-04-24,翔丰转债,123225,2,15,0.63
2026-04-24,盈峰转债,127024,10,15,1.22
2026-04-24,博瑞转债,118004,13,15,1.41
2026-04-24,超达转债,123187,10,15,-2.17
2026-04-24,华特转债,118033,3,15,-1.83
2026-04-24,盈峰转债,127024,10,15,0.17
2026-04-24,博瑞转债,118004,13,15,0.92
2026-04-24,翔丰转债,123225,2,15,1.18
2026-04-24,盈峰转债,127024,11,15,-1.09
2026-04-24,超达转债,123187,11,15,-0.42
2026-04-24,华特转债,118033,4,15,-0.33
2026-04-24,博瑞转债,118004,14,15,1.93
2026-04-24,翔丰转债,123225,3,15,1.95
2026-04-24,盈峰转债,127024,11,15,-1.09
2026-04-24,超达转债,123187,11,15,-0.42
2026-04-24,华特转债,118033,4,15,-0.33
2026-04-24,博瑞转债,118004,14,15,1.93
2026-04-24,翔丰转债,123225,3,15,1.95
2026-04-25,盈峰转债,127024,11,15,-1.09
2026-04-25,超达转债,123187,11,15,-0.42
2026-04-25,华特转债,118033,4,15,-0.33
2026-04-25,博瑞转债,118004,14,15,1.93
2026-04-25,翔丰转债,123225,3,15,1.95
2026-04-25,盈峰转债,127024,11,15,-1.09
2026-04-25,超达转债,123187,11,15,-0.42
2026-04-25,华特转债,118033,4,15,-0.33
2026-04-25,博瑞转债,118004,14,15,1.93
2026-04-25,翔丰转债,123225,3,15,1.95
2026-04-25,盈峰转债,127024,11,15,-1.09
2026-04-25,超达转债,123187,11,15,-0.42
2026-04-25,华特转债,118033,4,15,-0.33
2026-04-25,博瑞转债,118004,14,15,1.93
2026-04-25,翔丰转债,123225,3,15,1.95
2026-04-25,盈峰转债,127024,11,15,-1.09
2026-04-25,超达转债,123187,11,15,-0.42
2026-04-25,华特转债,118033,4,15,-0.33
2026-04-25,博瑞转债,118004,14,15,1.93
2026-04-25,翔丰转债,123225,3,15,1.95
2026-04-25,盈峰转债,127024,11,15,-1.09
2026-04-25,超达转债,123187,11,15,-0.42
2026-04-25,华特转债,118033,4,15,-0.33
2026-04-25,博瑞转债,118004,14,15,1.93
2026-04-25,翔丰转债,123225,3,15,1.95
2026-04-25,盈峰转债,127024,11,15,-1.09
2026-04-25,超达转债,123187,11,15,-0.42
2026-04-25,华特转债,118033,4,15,-0.33
2026-04-25,博瑞转债,118004,14,15,1.93
2026-04-25,翔丰转债,123225,3,15,1.95
2026-04-25,盈峰转债,127024,11,15,-1.09
2026-04-25,超达转债,123187,11,15,-0.42
2026-04-25,华特转债,118033,4,15,-0.33
2026-04-25,博瑞转债,118004,14,15,1.93
2026-04-25,翔丰转债,123225,3,15,1.95
2026-04-26,盈峰转债,127024,11,15,-1.09
2026-04-26,超达转债,123187,11,15,-0.42
2026-04-26,华特转债,118033,4,15,-0.33
2026-04-26,博瑞转债,118004,14,15,1.93
2026-04-26,翔丰转债,123225,3,15,1.95
2026-04-26,盈峰转债,127024,11,15,-1.09
2026-04-26,超达转债,123187,11,15,-0.42
2026-04-26,华特转债,118033,4,15,-0.33
2026-04-26,博瑞转债,118004,14,15,1.93
2026-04-26,翔丰转债,123225,3,15,1.95
2026-04-26,盈峰转债,127024,11,15,-1.09
2026-04-26,超达转债,123187,11,15,-0.42
2026-04-26,华特转债,118033,4,15,-0.33
2026-04-26,博瑞转债,118004,14,15,1.93
2026-04-26,翔丰转债,123225,3,15,1.95
2026-04-26,盈峰转债,127024,11,15,-1.09
2026-04-26,超达转债,123187,11,15,-0.42
2026-04-26,华特转债,118033,4,15,-0.33
2026-04-26,博瑞转债,118004,14,15,1.93
2026-04-26,翔丰转债,123225,3,15,1.95
2026-04-26,盈峰转债,127024,11,15,-1.09
2026-04-26,超达转债,123187,11,15,-0.42
2026-04-26,华特转债,118033,4,15,-0.33
2026-04-26,博瑞转债,118004,14,15,1.93
2026-04-26,翔丰转债,123225,3,15,1.95
2026-04-26,盈峰转债,127024,11,15,-1.09
2026-04-26,超达转债,123187,11,15,-0.42
2026-04-26,华特转债,118033,4,15,-0.33
2026-04-26,博瑞转债,118004,14,15,1.93
2026-04-26,翔丰转债,123225,3,15,1.95
2026-04-26,盈峰转债,127024,11,15,-1.09
2026-04-26,超达转债,123187,11,15,-0.42
2026-04-26,华特转债,118033,4,15,-0.33
2026-04-26,博瑞转债,118004,14,15,1.93
2026-04-26,翔丰转债,123225,3,15,1.95
2026-04-27,盈峰转债,127024,11,15,-1.09
2026-04-27,超达转债,123187,11,15,-0.42
2026-04-27,华特转债,118033,4,15,-0.33
2026-04-27,博瑞转债,118004,14,15,1.93
2026-04-27,翔丰转债,123225,3,15,1.95
2026-04-27,盈峰转债,127024,11,15,-1.09
2026-04-27,超达转债,123187,11,15,-0.42
2026-04-27,华特转债,118033,4,15,-0.33
2026-04-27,博瑞转债,118004,14,15,1.93
2026-04-27,翔丰转债,123225,3,15,1.95
2026-04-27,盈峰转债,127024,11,15,-0.14
2026-04-27,超达转债,123187,11,15,0.0
2026-04-27,华特转债,118033,4,15,1.25
2026-04-27,瑞丰转债,123126,11,15,1.28
2026-04-27,超达转债,123187,11,15,-0.07
2026-04-27,盈峰转债,127024,11,15,0.43
2026-04-27,华特转债,118033,4,15,1.74
2026-04-27,超达转债,123187,11,15,-0.21
2026-04-27,盈峰转债,127024,11,15,0.15
2026-04-27,华特转债,118033,4,15,0.3
2026-04-27,华特转债,118033,5,15,-0.4
2026-04-27,盈峰转债,127024,12,15,0.38
2026-04-27,超达转债,123187,12,15,0.6
2026-04-27,华特转债,118033,5,15,-0.4
2026-04-27,盈峰转债,127024,12,15,0.38
2026-04-27,超达转债,123187,12,15,0.6
2026-04-28,华特转债,118033,5,15,-0.4
2026-04-28,盈峰转债,127024,12,15,0.38
2026-04-28,超达转债,123187,12,15,0.6
2026-04-28,华特转债,118033,5,15,-0.4
2026-04-28,盈峰转债,127024,12,15,0.38
2026-04-28,超达转债,123187,12,15,0.6
2026-04-28,超达转债,123187,12,15,-0.05
2026-04-28,华特转债,118033,5,15,-0.04
2026-04-28,盈峰转债,127024,12,15,0.4
2026-04-28,瑞丰转债,123126,11,15,1.77
2026-04-28,华特转债,118033,5,15,-0.25
2026-04-28,超达转债,123187,12,15,-0.12
2026-04-28,瑞丰转债,123126,11,15,-0.09
2026-04-28,超达转债,123187,12,15,-0.42
2026-04-28,瑞丰转债,123126,11,15,0.11
2026-04-28,华特转债,118033,5,15,0.76
2026-04-28,瑞丰转债,123126,11,15,-1.07
2026-04-28,超达转债,123187,13,15,-0.29
2026-04-28,华特转债,118033,6,15,1.14
2026-04-28,瑞丰转债,123126,11,15,-1.07
2026-04-28,超达转债,123187,13,15,-0.29
2026-04-28,华特转债,118033,6,15,1.14
2026-04-29,瑞丰转债,123126,11,15,-1.07
2026-04-29,超达转债,123187,13,15,-0.29
2026-04-29,华特转债,118033,6,15,1.14
2026-04-29,瑞丰转债,123126,11,15,-1.07
2026-04-29,超达转债,123187,13,15,-0.29
2026-04-29,华特转债,118033,6,15,1.14
2026-04-29,帝欧转债,127047,10,15,-0.48
2026-04-29,超达转债,123187,13,15,-0.4
2026-04-29,瑞丰转债,123126,11,15,0.01
2026-04-29,盈峰转债,127024,13,15,1.0
2026-04-29,星球转债,118041,3,15,1.55
2026-04-29,帝欧转债,127047,10,15,-0.33
2026-04-29,星球转债,118041,3,15,1.08
2026-04-29,超达转债,123187,13,15,1.25
2026-04-29,瑞丰转债,123126,11,15,1.38
2026-04-29,盈峰转债,127024,13,15,1.71
2026-04-29,帝欧转债,127047,10,15,-0.4
2026-04-29,盈峰转债,127024,13,15,1.04
2026-04-29,超达转债,123187,13,15,1.12
2026-04-29,瑞丰转债,123126,11,15,1.33
2026-04-29,星球转债,118041,3,15,1.35
2026-04-29,帝欧转债,127047,10,15,-0.26
2026-04-29,盈峰转债,127024,13,15,0.86
2026-04-29,瑞丰转债,123126,11,15,1.36
2026-04-29,星球转债,118041,3,15,1.83
2026-04-29,超达转债,123187,13,15,1.99
2026-04-29,帝欧转债,127047,10,15,-0.26
2026-04-29,盈峰转债,127024,13,15,0.86
2026-04-29,瑞丰转债,123126,11,15,1.36
2026-04-29,星球转债,118041,3,15,1.83
2026-04-29,超达转债,123187,13,15,1.99
2026-04-29,帝欧转债,127047,11,15,-0.37
2026-04-29,瑞丰转债,123126,11,15,-0.26
2026-04-29,盈峰转债,127024,14,15,0.26
2026-04-29,翔丰转债,123225,6,15,0.49
2026-04-29,华特转债,118033,7,15,1.09
2026-04-29,星球转债,118041,4,15,1.52
2026-04-29,超达转债,123187,14,15,1.95
2026-04-29,帝欧转债,127047,11,15,-0.37
2026-04-29,瑞丰转债,123126,11,15,-0.26
2026-04-29,盈峰转债,127024,14,15,0.26
2026-04-29,翔丰转债,123225,6,15,0.49
