date,push_time,log_file,name,code,cnt,cnt_max,premium_rt
2026-04-22,,cb_noredeem_20260422_0100.log,超达转债,123187,8,15,-2.2
2026-04-22,,cb_noredeem_20260422_0100.log,华兴转债,118003,14,15,1.45
2026-04-22,,cb_noredeem_20260422_0800.log,超达转债,123187,8,15,-2.2
2026-04-22,,cb_noredeem_20260422_0800.log,华兴转债,118003,14,15,1.45
2026-04-22,,cb_noredeem_20260422_1148.log,盈峰转债,127024,8,15,-0.31
2026-04-22,,cb_noredeem_20260422_1148.log,华兴转债,118003,14,15,1.5
2026-04-22,,cb_noredeem_20260422_1148.log,超达转债,123187,8,15,1.96
2026-04-22,,cb_noredeem_20260422_1148.log,盈峰转债,127024,8,15,-0.31
2026-04-22,,cb_noredeem_20260422_1148.log,华兴转债,118003,14,15,1.5
2026-04-22,,cb_noredeem_20260422_1148.log,超达转债,123187,8,15,1.96
2026-04-22,,cb_noredeem_20260422_1149.log,盈峰转债,127024,8,15,-0.31
2026-04-22,,cb_noredeem_20260422_1149.log,华兴转债,118003,14,15,1.5
2026-04-22,,cb_noredeem_20260422_1149.log,超达转债,123187,8,15,1.96
2026-04-22,,cb_noredeem_20260422_1200.log,盈峰转债,127024,8,15,-0.31
2026-04-22,,cb_noredeem_20260422_1200.log,华兴转债,118003,14,15,1.5
2026-04-22,,cb_noredeem_20260422_1200.log,超达转债,123187,8,15,1.96
2026-04-22,,cb_noredeem_20260422_1400.log,盈峰转债,127024,8,15,-0.21
2026-04-22,,cb_noredeem_20260422_1420.log,盈峰转债,127024,8,15,-0.19
2026-04-22,,cb_noredeem_20260422_1420.log,超达转债,123187,8,15,0.9
2026-04-22,,cb_noredeem_20260422_1600.log,超达转债,123187,9,15,0.13
2026-04-22,,cb_noredeem_20260422_1600.log,盈峰转债,127024,9,15,0.36
2026-04-22,,cb_noredeem_20260422_2200.log,超达转债,123187,9,15,0.13
2026-04-22,,cb_noredeem_20260422_2200.log,盈峰转债,127024,9,15,0.36
2026-04-23,,cb_noredeem_20260423_0100.log,超达转债,123187,9,15,0.13
2026-04-23,,cb_noredeem_20260423_0100.log,盈峰转债,127024,9,15,0.36
2026-04-23,,cb_noredeem_20260423_0800.log,超达转债,123187,9,15,0.13
2026-04-23,,cb_noredeem_20260423_0800.log,盈峰转债,127024,9,15,0.36
2026-04-23,,cb_noredeem_20260423_1030.log,翔丰转债,123225,1,15,0.2
2026-04-23,,cb_noredeem_20260423_1030.log,盈峰转债,127024,9,15,0.31
2026-04-23,,cb_noredeem_20260423_1030.log,瑞丰转债,123126,9,15,0.6
2026-04-23,,cb_noredeem_20260423_1030.log,超达转债,123187,9,15,1.17
2026-04-23,,cb_noredeem_20260423_1200.log,盈峰转债,127024,9,15,0.18
2026-04-23,,cb_noredeem_20260423_1200.log,超达转债,123187,9,15,0.69
2026-04-23,,cb_noredeem_20260423_1200.log,翔丰转债,123225,1,15,0.96
2026-04-23,,cb_noredeem_20260423_1400.log,超达转债,123187,9,15,-0.61
2026-04-23,,cb_noredeem_20260423_1400.log,瑞丰转债,123126,9,15,0.23
2026-04-23,,cb_noredeem_20260423_1400.log,翔丰转债,123225,1,15,0.86
2026-04-23,,cb_noredeem_20260423_1400.log,盈峰转债,127024,9,15,1.71
2026-04-23,,cb_noredeem_20260423_1400.log,华特转债,118033,2,15,1.84
2026-04-23,,cb_noredeem_20260423_1600.log,超达转债,123187,10,15,-0.07
2026-04-23,,cb_noredeem_20260423_1600.log,翔丰转债,123225,2,15,0.07
2026-04-23,,cb_noredeem_20260423_1600.log,瑞丰转债,123126,10,15,0.54
2026-04-23,,cb_noredeem_20260423_1600.log,华特转债,118033,3,15,1.51
2026-04-23,,cb_noredeem_20260423_1600.log,盈峰转债,127024,10,15,1.73
2026-04-23,,cb_noredeem_20260423_2200.log,超达转债,123187,10,15,-0.07
2026-04-23,,cb_noredeem_20260423_2200.log,翔丰转债,123225,2,15,0.07
2026-04-23,,cb_noredeem_20260423_2200.log,瑞丰转债,123126,10,15,0.54
